,0,1,2,3,4,5,6
contig_21641_12,0.0,1.0,0.0,1.0,0.0,1.0,0.0
contig_21641_13,0.0,2.0,0.0,1.0,1.0,1.0,0.0
contig_21641_10,0.0,0.0,0.0,1.0,0.0,1.0,0.0
contig_21641_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21612_12,0.0,4.0,0.0,0.0,0.0,1.0,0.0
contig_21626_3,0.0,4.0,0.0,0.0,0.0,0.0,0.0
contig_21759_2,0.0,1.0,4.0,2.0,0.0,1.0,0.0
contig_21759_3,0.0,0.0,8.0,1.0,0.0,1.0,0.0
contig_21759_1,0.0,0.0,0.0,1.0,0.0,1.0,0.0
contig_21759_4,0.0,1.0,4.0,1.0,0.0,0.0,0.0
contig_21759_5,0.0,0.0,6.0,2.0,0.0,1.0,0.0
contig_21752_5,0.0,0.0,0.0,1.0,0.0,0.0,1.0
contig_21752_4,0.0,1.0,0.0,1.0,1.0,1.0,0.0
contig_21752_1,0.0,3.0,0.0,1.0,3.0,1.0,0.0
contig_21752_3,0.0,4.0,0.0,1.0,5.0,1.0,0.0
contig_21752_2,0.0,2.0,0.0,1.0,1.0,1.0,0.0
contig_21859_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21859_3,0.0,3.0,1.0,0.0,0.0,1.0,0.0
contig_21859_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21859_5,0.0,2.0,4.0,1.0,0.0,1.0,0.0
contig_21859_4,0.0,2.0,0.0,1.0,0.0,1.0,0.0
contig_21797_4,0.0,0.0,0.0,0.0,2.0,1.0,1.0
contig_21797_1,0.0,5.0,0.0,1.0,0.0,1.0,0.0
contig_21797_2,0.0,6.0,0.0,1.0,6.0,1.0,0.0
contig_21797_3,0.0,6.0,0.0,1.0,7.0,1.0,0.0
contig_21756_1,0.0,1.0,0.0,0.0,0.0,1.0,1.0
contig_21618_10,0.0,0.0,0.0,1.0,0.0,1.0,6.0
contig_21791_4,0.0,2.0,7.0,0.0,0.0,0.0,0.0
contig_21791_5,1.0,4.0,1.0,1.0,5.0,1.0,0.0
contig_21791_2,0.0,3.0,0.0,1.0,1.0,1.0,0.0
contig_21791_3,0.0,2.0,0.0,1.0,0.0,1.0,0.0
contig_21756_7,0.0,0.0,2.0,0.0,1.0,0.0,1.0
contig_21791_1,0.0,3.0,0.0,1.0,0.0,0.0,0.0
contig_21855_4,0.0,1.0,1.0,1.0,0.0,1.0,0.0
contig_21855_1,1.0,4.0,0.0,1.0,4.0,1.0,0.0
contig_21618_12,1.0,0.0,0.0,1.0,5.0,1.0,4.0
contig_21855_3,0.0,2.0,0.0,1.0,2.0,1.0,0.0
contig_21855_2,0.0,4.0,0.0,1.0,5.0,1.0,0.0
contig_21816_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21711_8,0.0,2.0,1.0,1.0,3.0,0.0,0.0
contig_21711_6,0.0,2.0,0.0,1.0,1.0,0.0,0.0
contig_21711_7,0.0,4.0,0.0,1.0,1.0,1.0,0.0
contig_21711_4,1.0,3.0,1.0,0.0,0.0,1.0,0.0
contig_21711_5,0.0,2.0,0.0,0.0,0.0,1.0,1.0
contig_21711_2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_21711_3,0.0,2.0,0.0,0.0,0.0,1.0,0.0
contig_22219_4,0.0,4.0,0.0,1.0,1.0,1.0,0.0
contig_21711_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_22009_3,0.0,0.0,0.0,0.0,1.0,1.0,0.0
contig_22009_2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_22009_1,0.0,1.0,0.0,1.0,2.0,1.0,0.0
contig_22009_4,0.0,0.0,1.0,0.0,0.0,1.0,0.0
contig_21713_1,0.0,3.0,2.0,1.0,1.0,1.0,0.0
contig_21713_2,0.0,0.0,0.0,1.0,3.0,1.0,1.0
contig_21713_3,0.0,1.0,0.0,1.0,1.0,1.0,0.0
contig_21713_4,0.0,3.0,0.0,1.0,0.0,1.0,0.0
contig_21713_5,0.0,6.0,2.0,1.0,2.0,1.0,0.0
contig_21713_6,0.0,3.0,0.0,1.0,6.0,1.0,0.0
contig_21623_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21750_3,0.0,1.0,0.0,1.0,0.0,1.0,0.0
contig_21750_2,0.0,0.0,0.0,1.0,0.0,1.0,0.0
contig_21750_1,0.0,0.0,0.0,1.0,0.0,1.0,0.0
contig_21750_4,38.0,0.0,20.0,0.0,0.0,8.0,0.0
contig_22216_1,0.0,1.0,0.0,1.0,0.0,0.0,1.0
contig_22216_3,0.0,0.0,0.0,1.0,3.0,1.0,2.0
contig_22216_2,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_21981_1,0.0,2.0,1.0,0.0,1.0,0.0,0.0
contig_21715_8,0.0,2.0,0.0,0.0,0.0,1.0,0.0
contig_21715_2,0.0,2.0,0.0,0.0,3.0,0.0,0.0
contig_21715_3,0.0,6.0,0.0,1.0,1.0,1.0,0.0
contig_21715_1,0.0,0.0,4.0,0.0,0.0,0.0,0.0
contig_21715_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21715_7,0.0,0.0,0.0,0.0,0.0,1.0,1.0
contig_21715_4,0.0,2.0,0.0,1.0,0.0,1.0,0.0
contig_21715_5,0.0,0.0,0.0,0.0,0.0,1.0,1.0
contig_21717_4,0.0,1.0,0.0,1.0,0.0,1.0,0.0
contig_21717_5,0.0,4.0,0.0,1.0,1.0,1.0,0.0
contig_21717_1,0.0,4.0,0.0,1.0,2.0,1.0,0.0
contig_21717_2,0.0,0.0,2.0,1.0,1.0,1.0,3.0
contig_21717_3,0.0,2.0,0.0,1.0,0.0,0.0,1.0
contig_21656_4,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_21656_5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_21656_6,0.0,1.0,0.0,1.0,0.0,1.0,0.0
contig_21656_7,3.0,0.0,7.0,1.0,0.0,1.0,3.0
contig_21656_1,0.0,4.0,0.0,1.0,4.0,1.0,0.0
contig_21656_2,0.0,3.0,0.0,1.0,2.0,1.0,0.0
contig_21656_3,0.0,0.0,0.0,1.0,0.0,1.0,0.0
contig_21814_2,0.0,2.0,0.0,0.0,0.0,1.0,0.0
contig_21650_6,0.0,3.0,0.0,0.0,0.0,1.0,0.0
contig_21650_7,0.0,1.0,1.0,0.0,0.0,1.0,0.0
contig_21650_4,0.0,1.0,0.0,0.0,6.0,0.0,0.0
contig_21650_5,0.0,2.0,0.0,0.0,0.0,1.0,0.0
contig_21650_2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
contig_21650_3,0.0,0.0,1.0,0.0,2.0,1.0,1.0
contig_21650_1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
contig_21814_4,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_21650_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21350_10,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_21652_8,1.0,3.0,2.0,0.0,1.0,1.0,0.0
contig_21983_5,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_21983_4,0.0,2.0,0.0,0.0,0.0,1.0,0.0
contig_21652_1,0.0,0.0,0.0,0.0,2.0,1.0,1.0
contig_21652_2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_21652_3,0.0,2.0,0.0,0.0,0.0,1.0,0.0
contig_21652_4,0.0,4.0,0.0,0.0,0.0,1.0,0.0
contig_21652_5,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_21652_6,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_21652_7,0.0,2.0,0.0,0.0,0.0,1.0,0.0
contig_21983_6,2.0,13.0,3.0,2.0,0.0,1.0,1.0
contig_21282_3,0.0,0.0,0.0,1.0,0.0,1.0,0.0
contig_21282_2,0.0,0.0,9.0,1.0,0.0,1.0,0.0
contig_21282_1,0.0,0.0,0.0,1.0,0.0,1.0,0.0
contig_21282_7,15.0,0.0,13.0,0.0,0.0,4.0,0.0
contig_21282_6,2.0,0.0,1.0,1.0,0.0,1.0,0.0
contig_21282_5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_21282_4,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_21282_9,3.0,0.0,6.0,0.0,1.0,1.0,0.0
contig_21282_8,10.0,0.0,11.0,0.0,0.0,2.0,0.0
contig_22129_1,0.0,2.0,0.0,1.0,0.0,1.0,0.0
contig_22129_2,0.0,3.0,0.0,1.0,0.0,1.0,0.0
contig_22129_3,0.0,0.0,0.0,1.0,0.0,1.0,0.0
contig_21631_10,1.0,3.0,2.0,1.0,0.0,1.0,0.0
contig_22168_5,0.0,3.0,0.0,0.0,0.0,1.0,0.0
contig_22168_4,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_22168_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_22168_3,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_22168_2,1.0,0.0,1.0,0.0,0.0,0.0,0.0
contig_22146_4,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_22162_3,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_22162_2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
contig_22162_1,0.0,1.0,1.0,0.0,1.0,0.0,0.0
contig_22146_6,0.0,0.0,1.0,0.0,0.0,0.0,0.0
contig_21615_6,0.0,0.0,0.0,1.0,0.0,1.0,0.0
contig_22146_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
