,0,1
contig_19975_7,1.0,0.0
contig_19975_6,0.0,0.0
contig_20008_4,0.0,0.0
contig_20008_5,0.0,0.0
contig_20008_6,0.0,0.0
contig_20008_7,0.0,0.0
contig_20008_1,0.0,0.0
contig_20008_2,0.0,0.0
contig_20008_3,0.0,0.0
contig_20261_1,0.0,0.0
contig_20261_3,0.0,0.0
contig_20261_2,0.0,0.0
contig_20008_8,0.0,1.0
contig_20008_9,0.0,1.0
contig_19979_9,1.0,0.0
contig_19979_8,1.0,0.0
contig_19979_5,0.0,0.0
contig_19979_4,0.0,0.0
contig_19979_7,5.0,1.0
contig_19979_6,1.0,1.0
contig_19979_1,0.0,0.0
contig_19979_3,0.0,0.0
contig_19979_2,0.0,1.0
contig_20109_4,1.0,1.0
contig_20109_5,10.0,0.0
contig_20109_1,0.0,0.0
contig_20109_2,0.0,0.0
contig_20109_3,0.0,0.0
contig_19973_3,0.0,0.0
contig_19973_2,0.0,0.0
contig_19973_1,0.0,1.0
contig_19973_7,0.0,1.0
contig_19973_6,0.0,1.0
contig_19973_5,0.0,1.0
contig_19973_4,0.0,0.0
contig_19973_9,0.0,1.0
contig_19973_8,0.0,1.0
contig_19971_5,0.0,0.0
contig_19971_4,0.0,0.0
contig_19971_7,0.0,0.0
contig_19971_6,1.0,0.0
contig_19971_1,0.0,0.0
contig_19971_3,0.0,0.0
contig_19971_2,0.0,1.0
contig_20148_1,0.0,1.0
contig_20148_3,0.0,0.0
contig_20148_2,0.0,0.0
contig_19971_9,0.0,0.0
contig_19971_8,0.0,0.0
contig_20185_1,0.0,1.0
contig_20185_2,0.0,1.0
contig_20185_3,0.0,1.0
contig_20185_4,0.0,1.0
contig_20141_1,0.0,0.0
contig_20141_2,0.0,0.0
contig_19967_12,2.0,0.0
contig_19967_13,3.0,0.0
contig_19967_10,0.0,0.0
contig_19967_11,0.0,0.0
contig_19967_14,2.0,1.0
contig_20266_1,0.0,0.0
contig_20100_5,0.0,0.0
contig_20100_4,3.0,1.0
contig_20183_1,1.0,0.0
contig_20100_1,0.0,1.0
contig_20100_3,7.0,1.0
contig_20100_2,0.0,1.0
contig_20393_3,0.0,0.0
contig_20393_2,0.0,1.0
contig_20181_4,0.0,0.0
contig_20106_3,0.0,0.0
contig_20181_1,0.0,0.0
contig_20106_1,0.0,0.0
contig_20181_3,0.0,0.0
contig_20145_4,6.0,1.0
contig_20391_4,7.0,1.0
contig_20391_1,12.0,1.0
contig_20145_1,12.0,1.0
contig_20391_3,34.0,0.0
contig_20391_2,4.0,1.0
contig_20187_4,0.0,1.0
contig_20187_2,0.0,1.0
contig_20187_3,2.0,1.0
contig_20187_1,0.0,1.0
contig_20104_1,0.0,1.0
contig_20104_3,0.0,2.0
contig_20104_2,0.0,2.0
contig_20143_2,1.0,1.0
contig_20104_4,6.0,1.0
contig_20397_1,2.0,1.0
contig_20143_1,3.0,0.0
contig_19959_11,0.0,1.0
contig_19959_10,0.0,1.0
contig_19976_10,0.0,0.0
contig_19976_11,0.0,0.0
contig_20102_3,13.0,1.0
